season,game_id,l2m_events,incorrect_events,mean_sori,max_sori,top_decile_event_sori
2020-21,0022000206,20,1,0.049403799951407326,0.18956592065786945,0.060278633104209944
2018-19,0021800921,16,0,0.049062916087573696,0.18956592065786945,0.060278633104209944
2018-19,0021800933,24,0,0.04893779941944878,0.18956592065786945,0.06110540672810116
2021-22,0022100767,27,1,0.045018505868053185,0.18956592065786945,0.060278633104209944
2024-25,0022400219,12,1,0.07256635880322736,0.17619861822516214,0.15164162064401976
2023-24,0022300477,13,2,0.0681843833751285,0.17619861822516214,0.11840264341102898
2022-23,0022201073,16,3,0.06770206112182664,0.17619861822516214,0.11847971834999801
2023-24,0022300586,17,0,0.06554211288271147,0.17619861822516214,0.12173667587095481
2023-24,0022300452,17,1,0.06375155853907091,0.17619861822516214,0.1355919303515238
2024-25,0022400615,13,1,0.06372634896857644,0.17619861822516214,0.07242767073120852
2024-25,0022400007,10,0,0.06262575613608343,0.17619861822516214,0.07187063161630512
2021-22,0022100276,9,1,0.06200082526150668,0.17619861822516214,0.09544631303062073
2022-23,0022200245,33,3,0.06188026144934655,0.17619861822516214,0.12569483258453015
2024-25,0022400001,13,1,0.06164888269154679,0.17619861822516214,0.12770396815945242
2024-25,0022400831,20,0,0.060780864494813944,0.17619861822516214,0.07261472787780741
2024-25,0022400441,13,1,0.060471912282823746,0.17619861822516214,0.07525823673198535
2021-22,0022100916,11,1,0.060411297774308315,0.17619861822516214,0.06110540672810116
2024-25,0022400866,7,0,0.060329924763950035,0.17619861822516214,0.10664662715259086
2020-21,0022000243,12,1,0.06007854471926296,0.17619861822516214,0.060278633104209944
2021-22,0022100799,19,3,0.05962100256344233,0.17619861822516214,0.06805674510089635
2018-19,0021800976,23,5,0.05849134983558648,0.17619861822516214,0.11564816372584413
2022-23,0022200183,23,1,0.05838016370085668,0.17619861822516214,0.06110540672810116
2019-20,0021900468,28,1,0.05834119320003124,0.17619861822516214,0.08088162792572824
2024-25,0022400166,11,0,0.05820350063311539,0.17619861822516214,0.060278633104209944
2023-24,0022300612,15,2,0.058157834993739214,0.17619861822516214,0.0844006379147398
2024-25,0022400086,16,0,0.058141188611236315,0.17619861822516214,0.06818182173004325
2024-25,0022401043,11,0,0.058084705995014856,0.17619861822516214,0.060278633104209944
2023-24,0022300279,10,0,0.05786531328409535,0.17619861822516214,0.07187063161630512
2019-20,0021900496,20,2,0.05743575865564652,0.17619861822516214,0.06498794525920766
2024-25,0022400231,14,1,0.05735351554409675,0.17619861822516214,0.07525823673198535
2021-22,0022101107,23,2,0.05711690553871801,0.17619861822516214,0.07509887462790402
2021-22,0022100683,18,1,0.057068314392344305,0.17619861822516214,0.06110540672810116
2020-21,0022000790,17,1,0.0569539844057025,0.17619861822516214,0.0944873648061659
2024-25,0022400185,14,0,0.05681968653341505,0.17619861822516214,0.06110540672810116
2023-24,0022300004,14,0,0.05676063127456567,0.17619861822516214,0.06085737464093379
2020-21,0022000319,18,3,0.056323597856265145,0.17619861822516214,0.06110540672810116
2020-21,0022000723,16,1,0.05592837609933309,0.17619861822516214,0.060692019916155554
2024-25,0022400523,13,0,0.055912631327805995,0.17619861822516214,0.07226231600643028
2019-20,0021900326,24,2,0.05544965439423629,0.17619861822516214,0.06982442924001146
2024-25,0022400094,20,0,0.05516912671516724,0.17619861822516214,0.06945089624761745
