feature,coefficient,odds_ratio
sequence_context_grouped_rebound_violation,-0.1519248350507323,0.8590528489782707
call_type_grouped_Foul: Personal,-0.1542364298658886,0.8570693602609707
sequence_context_grouped_foul_violation,-0.16613591523120821,0.8469311155280027
sequence_context_grouped_turnover_rebound_violation,-0.16982171843218558,0.8438152398910483
sequence_context_grouped_rebound_rebound_violation,-0.1725312981696767,0.8415319499898378
scramble_context_not_rebound_scramble,-0.1778368390074266,0.8370789909862525
score_state_one_possession,-0.19953384734003535,0.8191124955645491
call_type_grouped_Instant Replay: Overturn Ruling,-0.20007484491792957,0.8186694775350715
sequence_context_grouped_violation_foul_rebound,-0.20719658271661795,0.8128598400845598
sequence_context_grouped_violation_rebound_foul,-0.22138069618921025,0.8014115278940451
sequence_context_grouped_turnover_violation,-0.23143784787840227,0.7933920049671318
sequence_context_grouped_turnover_foul_foul,-0.2426655964969538,0.784533820768846
scramble_context_rebound_scramble,-0.24885669198043167,0.7796917014523541
clock_bucket_61-90s,-0.2523480897061784,0.7769742342589703
sequence_context_grouped_foul_rebound_turnover,-0.2543150152874767,0.775447485754165
possession_context_not_trailing_team_possession,-0.27379675415012067,0.7604866253050044
call_type_grouped_Instant Replay: Support Ruling,-0.3014840866094106,0.7397195977078631
sequence_context_grouped_rebound_violation_foul,-0.3077834802322821,0.7350744589309723
call_family_Stoppage,-0.3094686394626813,0.7338367845535665
monitoring_type_administrative_process,-0.31437608443491216,0.730244342979175
call_type_grouped_Foul: Offensive,-0.3713826638647731,0.6897799371929358
score_state_tied,-0.37262102426054666,0.6889262697200059
monitoring_type_focal_continuous,-0.3769192369521917,0.685971472805751
monitoring_type_focal_discrete,-0.3973722058581699,0.6720838255355293
clock_bucket_91-120s,-0.41784297556943795,0.6584656154957846
call_type_grouped_Foul: Away from Play,-0.43216629854596916,0.6491014230862872
call_type_grouped_Violation: Kicked Ball,-0.44860550301050484,0.6385179424207302
call_type_grouped_Turnover: Backcourt Turnover,-0.46353691104627376,0.6290547953536918
period_bucket_Q4,-0.49440054278452755,0.6099364285212522
call_family_Instant Replay,-0.5015589315273402,0.6055858565779495
sequence_context_grouped_turnover_turnover_rebound,-0.5346563954898081,0.5858705633315755
sequence_context_grouped_Other,-0.5429928525932894,0.58100678004052
decision_kind_call,-0.5774338140852519,0.5613370149975486
call_type_grouped_Turnover: 8 Second Violation,-0.5915702664201444,0.5534575262684913
call_type_grouped_Stoppage: Inadvertent Whistle,-0.5994263429876321,0.5491265560569272
call_type_grouped_Turnover: Lost Ball Out of Bounds,-0.6141160083504055,0.5411190286480027
sequence_context_grouped_violation,-0.6349262046760563,0.5299745965215816
call_type_grouped_Foul: Loose Ball,-0.6851344969173709,0.5040224355520166
call_type_grouped_Violation: Defensive Goaltending,-0.796478257243758,0.4509141748555849
call_type_grouped_Foul: Personal Take,-0.8776728877356985,0.41574928207246153
call_family_Foul,-0.9823610422899707,0.37442601874205816
call_type_grouped_Turnover: 24 Second Violation,-1.35161600826774,0.25882166455982103
call_type_grouped_Turnover:  Out of Bounds - Bad Pass Turn,-1.5671794717984102,0.20863280797881711
