game_id,event_num,season,season_type,period,game_clock,description,original_ruling,final_ruling,overturned,crew_chief_id,challenging_team,event_msg_type,challenge_action_number,challenge_action_clock,challenge_action_person_id,resolution_method,challenged_action_number,challenged_period,challenged_clock,challenged_action_type,challenged_action_subtype,challenged_description,challenge_raw_type,taxonomy_category,taxonomy_label,mapping_note
0022000868,580,2020-21,Regular Season,4,PT05M42.00S,Instant Replay4th Period (9:05 PM EST) Instant Replay Coach Challenge Ruling Stands,challenged,upheld,0,,,,580,PT05M42.00S,577,person_id_action_number,577,4,PT05M42.00S,Foul,Shooting,Prince S.FOUL (P2.T3) (K.Lane),Foul: Shooting,ordinary_contact_foul,Ordinary contact foul,Mapped from challenged action type and subtype.
0022000869,493,2020-21,Regular Season,4,PT06M08.00S,Instant Replay4th Period (9:20 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,,,,493,PT06M08.00S,490,previous_same_clock,638,4,PT06M08.00S,Rebound,Unknown,CELTICS Rebound,Rebound,possession_boundary_adjudication,Possession/boundary adjudication,Rebound-linked challenges usually adjudicate possession or boundary state.
0022000873,402,2020-21,Regular Season,3,PT06M38.00S,Instant Replay3rd Period (9:32 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,,,,402,PT06M38.00S,708,previous_play,392,3,PT06M46.00S,Made Shot,Running Layup Shot,Middleton 2' Running Layup (12 PTS) (G. Antetokounmpo 1 AST),Unknown,unknown_or_unmapped,Unknown or unmapped,Shot/free-throw linked challenge lacks enough text to infer the challenged ruling.
0022000873,606,2020-21,Regular Season,4,PT01M18.00S,Instant Replay4th Period (10:11 PM EST) Instant Replay Coach Challenge Ruling Stands,challenged,upheld,0,,,,606,PT01M18.00S,601,person_id_action_number,601,4,PT01M18.00S,Foul,Shooting,Booker S.FOUL (P2.T3) (A.Moyer-Gleich),Foul: Shooting,ordinary_contact_foul,Ordinary contact foul,Mapped from challenged action type and subtype.
0022000874,683,2020-21,Regular Season,5,PT01M40.00S,Instant Replay1st OT (11:33 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,,,,683,PT01M40.00S,680,person_id_action_number,680,5,PT01M40.00S,Foul,Offensive,Morant OFF.Foul (P1) (S.Corbin),Foul: Offensive,ordinary_contact_foul,Ordinary contact foul,Mapped from challenged action type and subtype.
0022000878,603,2020-21,Regular Season,4,PT03M14.00S,Instant Replay4th Period (9:49 PM EST) Instant Replay Coach Challenge Ruling Stands,challenged,upheld,0,,,,603,PT03M14.00S,600,person_id_action_number,600,4,PT03M14.00S,Foul,Shooting,Griffin S.FOUL (P4.PN) (L.Richardson),Foul: Shooting,ordinary_contact_foul,Ordinary contact foul,Mapped from challenged action type and subtype.
0022000879,448,2020-21,Regular Season,3,PT02M58.00S,Instant Replay3rd Period (11:51 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,,,,448,PT02M58.00S,445,previous_same_clock,472,3,PT02M58.00S,Rebound,Unknown,TRAIL BLAZERS Rebound,Rebound,possession_boundary_adjudication,Possession/boundary adjudication,Rebound-linked challenges usually adjudicate possession or boundary state.
0022000883,405,2020-21,Regular Season,3,PT05M02.00S,Instant Replay3rd Period (8:36 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,1148.0,,,405,PT05M02.00S,402,previous_same_clock,459,3,PT05M02.00S,Rebound,Unknown,Suns Rebound,Rebound,possession_boundary_adjudication,Possession/boundary adjudication,Rebound-linked challenges usually adjudicate possession or boundary state.
0022000899,553,2020-21,Regular Season,4,PT07M49.00S,Instant Replay4th Period (9:37 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,,,,553,PT07M49.00S,551,previous_play,560,4,PT07M51.00S,Rebound,Unknown,Celtics Rebound,Rebound,possession_boundary_adjudication,Possession/boundary adjudication,Rebound-linked challenges usually adjudicate possession or boundary state.
0022000938,194,2020-21,Regular Season,2,PT07M53.00S,Instant Replay2nd Period (8:48 PM EST) Instant Replay Coach Challenge Overturn Ruling,challenged,overturned,1,,,,194,PT07M53.00S,188,person_id_action_number,188,2,PT07M53.00S,Foul,Shooting,Poeltl S.FOUL (P3.T1) (R.Acosta),Foul: Shooting,ordinary_contact_foul,Ordinary contact foul,Mapped from challenged action type and subtype.
